2017-02-04 20:48:16  
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16                  ---- LaserWeb Comm Server ----                
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16   Use  http://192.168.14.100:8000 to connect this server.
2017-02-04 20:48:16  
2017-02-04 20:48:16 * Updates: 
2017-02-04 20:48:16   Remember to check the commit log on
2017-02-04 20:48:16   https://github.com/LaserWeb/lw.comm-server/commits/master
2017-02-04 20:48:16   regularly, to know about updates and fixes, and then when ready
2017-02-04 20:48:16   update accordingly by running git pull
2017-02-04 20:48:16  
2017-02-04 20:48:16 * Support: 
2017-02-04 20:48:16   If you need help / support, come over to 
2017-02-04 20:48:16   https://plus.google.com/communities/115879488566665599508
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16  
2017-02-04 20:48:22 App connected!
2017-02-04 20:48:23 INFO: Connecting to USB,COM4,115200
2017-02-04 20:48:23 INFO: Connected to COM4 at 115200
2017-02-04 20:48:23 Smoothieware detected (edge-d792543, Thu Dec 15 2016)
2017-02-04 20:49:36 Run Job (3739845)
2017-02-04 20:50:56 Done: 90798 of 236483 (ave. 1149 lines/s)
2017-02-04 20:50:57 Done: 91300 of 236483 (ave. 1141 lines/s)
2017-02-04 20:50:57 Done: 91804 of 236483 (ave. 1148 lines/s)
2017-02-04 20:50:57 Done: 92307 of 236483 (ave. 1140 lines/s)
2017-02-04 20:50:58 Done: 92808 of 236483 (ave. 1146 lines/s)
2017-02-04 20:50:58 Done: 93311 of 236483 (ave. 1138 lines/s)
2017-02-04 20:50:59 Done: 93812 of 236483 (ave. 1144 lines/s)
2017-02-04 20:50:59 Done: 94314 of 236483 (ave. 1150 lines/s)
2017-02-04 20:51:00 Done: 94815 of 236483 (ave. 1142 lines/s)
2017-02-04 20:51:00 Done: 95317 of 236483 (ave. 1148 lines/s)
2017-02-04 20:51:01 Done: 95818 of 236483 (ave. 1141 lines/s)
2017-02-04 20:51:01 Done: 96319 of 236483 (ave. 1147 lines/s)
2017-02-04 20:51:01 Done: 96821 of 236483 (ave. 1139 lines/s)
2017-02-04 20:51:02 Done: 97322 of 236483 (ave. 1145 lines/s)
2017-02-04 20:51:02 Done: 97823 of 236483 (ave. 1151 lines/s)
2017-02-04 20:51:03 Done: 98324 of 236483 (ave. 1143 lines/s)
2017-02-04 20:51:03 Done: 98825 of 236483 (ave. 1149 lines/s)
2017-02-04 20:51:04 Done: 99329 of 236483 (ave. 1142 lines/s)
2017-02-04 20:51:04 Done: 99831 of 236483 (ave. 1147 lines/s)
2017-02-04 20:51:04 Done: 100332 of 236483 (ave. 1140 lines/s)
2017-02-04 20:51:05 Done: 100833 of 236483 (ave. 1146 lines/s)
2017-02-04 20:51:05 Done: 101333 of 236483 (ave. 1152 lines/s)
2017-02-04 20:51:06 Done: 101834 of 236483 (ave. 1144 lines/s)
2017-02-04 20:51:06 Done: 102335 of 236483 (ave. 1150 lines/s)
2017-02-04 20:51:07 Done: 102837 of 236483 (ave. 1143 lines/s)
2017-02-04 20:51:07 Done: 103339 of 236483 (ave. 1148 lines/s)
2017-02-04 20:51:08 Done: 103841 of 236483 (ave. 1141 lines/s)
2017-02-04 20:51:08 Done: 104343 of 236483 (ave. 1147 lines/s)
